,RNTC,Tprobe,Tcalc,A,B,C,T1,R1,T2,R2,T3,R3
26,26828.669724770643,39.22214,39.22214000000008,-0.0031051156122668304,0.0007732072201858719,-1.4883337912220176e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,39.22214,26828.669724770643
27,26264.33990895296,39.66162,39.66161999999997,-0.0023714818899376747,0.0006699367160109555,-1.1852813317568928e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,39.66162,26264.33990895296
28,25160.986547085202,40.72147,40.7214699999999,-0.0017193772769524378,0.0005781427183959444,-9.159072547770129e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,40.72147,25160.986547085202
29,24836.383928571428,40.93613,40.93613000000005,-0.0012531635444558613,0.0005125157907578093,-7.233217533622984e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,40.93613,24836.383928571428
30,24514.666666666668,41.15137,41.151369999999986,-0.0008262528537737457,0.00045242138544007856,-5.469717153999982e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,41.15137,24514.666666666668
31,24195.796460176993,41.58221,41.58221000000003,-0.0009839993273022176,0.0004746266867468135,-6.121342826590114e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,41.58221,24195.796460176993
32,23984.779411764706,41.79236,41.792360000000144,-0.0008860551168340782,0.00046083949609812514,-5.716750821488385e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,41.79236,23984.779411764706
33,23670.571010248903,42.00983,42.009829999999965,-0.0005147254209420587,0.00040856899142701893,-4.182846719380823e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,42.00983,23670.571010248903
34,23359.110787172012,42.44809,42.44808999999992,-0.0006661591794767828,0.00042988567864708516,-4.808395567166827e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,42.44809,23359.110787172012
35,23050.362844702468,42.85709,42.85709000000003,-0.0007345490081441548,0.0004395126244539013,-5.090903106681845e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,42.85709,23050.362844702468
36,22642.85714285714,43.27158,43.271579999999915,-0.0005434052874111802,0.0004126061344587383,-4.3013187007805425e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,43.27158,22642.85714285714
37,22140.042979942693,43.68677,43.686770000000024,-0.00012825110718520886,0.0003541666432012405,-2.5863826019426455e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,43.68677,22140.042979942693
38,21841.79743223966,44.10733,44.10733000000005,-0.00020591321582324323,0.0003650988084905816,-2.9071924599639266e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,44.10733,21841.79743223966
39,21448.08510638298,44.51529,44.51528999999999,-3.3854243680082885e-05,0.0003408787975229425,-2.1964441247390706e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,44.51529,21448.08510638298
40,21155.72033898305,44.92194,44.921940000000006,-7.374949794409537e-05,0.00034649468307540975,-2.3612450950013259e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,44.92194,21155.72033898305
41,20769.733146067414,45.3309,45.330899999999986,8.907064778558701e-05,0.0003235751824750903,-1.6886608869418204e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,45.3309,20769.733146067414
42,20388.058659217877,45.72961,45.72961000000004,0.000257935669837108,0.0002998047703007372,-9.911062531679703e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,45.72961,20388.058659217877
43,20104.589707927676,46.12106,46.12106,0.0002499240406900068,0.0003009325333193957,-1.0242010229891186e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,46.12106,20104.589707927676
44,19730.290456431536,46.50693,46.50693000000001,0.0004260517889680157,0.00027613977801077034,-2.9664521862606317e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,46.50693,19730.290456431536
45,19452.272727272728,46.90082,46.90082000000001,0.00041895555622139527,0.0002771386845647922,-3.25958631046265e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,46.90082,19452.272727272728
46,19085.13698630137,47.47568,47.47568000000001,0.0003568365387140748,0.0002858829149096907,-5.825624438506128e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,47.47568,19085.13698630137
47,18722.00272479564,47.83768,47.837680000000034,0.0005510720320347396,0.00025854120921463947,2.1979358443238884e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,47.83768,18722.00272479564
48,18452.238805970148,48.21243,48.21243000000004,0.0005751708426004671,0.0002551489219718485,3.1934195018827834e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,48.21243,18452.238805970148
49,18095.95141700405,48.7793,48.779300000000035,0.0005399248525932983,0.00026011035033507646,1.7374635346401255e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,48.7793,18095.95141700405
50,17831.25,49.15201,49.15201000000002,0.0005729136297054865,0.00025546666024723024,3.1001776158379984e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,49.15201,17831.25
51,17481.617647058825,49.51041,49.51040999999998,0.0007522283719330449,0.000230225285331906,1.0507385326777325e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,49.51041,17481.617647058825
52,17135.70478723404,50.22272,50.22271999999998,0.0005963581745448685,0.00025216647121280614,4.068634593532304e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,50.22272,17135.70478723404
53,16878.675496688742,50.57635,50.57634999999999,0.0006527646227263597,0.0002442263749970472,6.398695539588896e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,50.57635,16878.675496688742
54,16539.130434782608,51.07809,51.07809000000003,0.0007017677344364798,0.00023732841502271905,8.422936393464669e-08,24.16681,47643.052837573385,29.62064,37939.718804920914,51.07809,16539.130434782608
55,16203.145478374836,51.57898,51.57898000000006,0.0007529635868940687,0.00023012179224347375,1.053775589118738e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,51.57898,16203.145478374836
56,15870.664928292046,52.08759,52.08758999999992,0.000799431793318948,0.00022358066012325708,1.2457283826637781e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,52.08759,15870.664928292046
57,15297.093023255815,53.02695,53.02695,0.0008492428052301075,0.0002165689754678722,1.4514897756951467e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,53.02695,15297.093023255815
58,14973.971722365039,53.49936,53.499360000000024,0.000925684311292703,0.00020580862922054915,1.767257517994951e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,53.49936,14973.971722365039
59,14654.15601023018,54.09549,54.095489999999984,0.0009202446109439271,0.00020657435274235654,1.744786978279082e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,54.09549,14654.15601023018
60,14337.595419847328,54.66089,54.660889999999995,0.0009397106423281033,0.00020383420215474944,1.8251980677294272e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,54.66089,14337.595419847328
61,14102.281368821294,55.23605,55.23604999999998,0.0008654283187703661,0.00021429060944848347,1.5183495660345106e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,55.23605,14102.281368821294
62,13946.396965865992,55.51974,55.51974000000001,0.0008791534312377314,0.00021235858364156954,1.575045829620447e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,55.51974,13946.396965865992
63,13714.04282115869,55.79242,55.79241999999999,0.0009886238364375205,0.00019694889949929337,2.0272507177642794e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,55.79242,13714.04282115869
64,13560.113065326634,56.06036,56.06036,0.0010111613050608386,0.00019377639573247202,2.1203494274954851e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,56.06036,13560.113065326634
65,13406.954887218046,56.46133,56.461329999999975,0.0009610938058370279,0.00020082418501784566,1.9135285260397515e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,56.46133,13406.954887218046
66,13178.651685393259,56.9743,56.97429999999997,0.000939339948885965,0.00020388638309668113,1.8236667918907004e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,56.9743,13178.651685393259
67,13027.397260273972,57.23676,57.23675999999995,0.0009685443937060738,0.00019977539739778765,1.944305723290266e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,57.23676,13027.397260273972
68,12876.894409937888,57.63062,57.63062000000002,0.0009309991666800305,0.00020506047959388868,1.7892123429683377e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,57.63062,12876.894409937888
69,12727.1375464684,57.87595,57.87594999999999,0.0009702862793252482,0.00019953019955500572,1.951501176619781e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,57.87595,12727.1375464684
70,12578.121137206428,58.24896,58.248959999999954,0.0009469968929679902,0.0002028085475886848,1.855296413940756e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,58.24896,12578.121137206428
71,12429.83970406905,58.49158,58.49157999999994,0.0009882220774691864,0.00019700545340344726,2.025591115162053e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,58.49158,12429.83970406905
72,12282.287822878228,58.73605,58.73604999999998,0.001028189239699461,0.0001913794456718816,2.190689125832452e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,58.73605,12282.287822878228
73,12208.783783783783,58.97498,58.97498000000007,0.0009940306328034922,0.0001961878077314391,2.049585336343872e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,58.97498,12208.783783783783
74,11916.56479217604,59.65543,59.655430000000024,0.000989727527703677,0.0001967935375658921,2.0318098914025493e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,59.65543,11916.56479217604
75,11771.524390243903,60.00052,60.000519999999995,0.0009875187424401603,0.0001971044588892104,2.0226857496657985e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,60.00052,11771.524390243903
76,11627.189781021898,60.30237,60.302369999999996,0.0010050908599295552,0.00019463090651924926,2.0952733810830754e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,60.30237,11627.189781021898
77,11483.555825242718,60.51672,60.51672000000002,0.0010597165631770684,0.00018694147820702534,2.3209235006906287e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,60.51672,11483.555825242718
78,11412.0,60.83395,60.833950000000016,0.0010000140425801972,0.0001953455485419846,2.0743018535053408e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,60.83395,11412.0
79,11412.0,61.02908,61.02908000000002,0.0009196014269499432,0.00020666489102231058,1.7421300871720784e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,61.02908,11412.0
80,11198.369565217392,61.3494,61.3494,0.0010045722067616464,0.00019470391512355908,2.0931309070751307e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,61.3494,11198.369565217392
81,11056.807228915663,61.63031,61.63030999999995,0.001033627642367778,0.0001906139048190426,2.2131543050360838e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,61.63031,11056.807228915663
82,10915.92548076923,62.01102,62.01102000000003,0.0010245141006378802,0.00019189677939339785,2.175507709035629e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,62.01102,10915.92548076923
83,10845.738295318128,62.26968,62.269679999999994,0.0009946692610261721,0.00019609791074806827,2.0522234082819033e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,62.26968,10845.738295318128
84,10705.868263473054,62.54034,62.540340000000015,0.0010294623549436405,0.0001912002346444471,2.1959481630629968e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,62.54034,10705.868263473054
85,10705.868263473054,62.74371,62.74371000000002,0.0009539063221762909,0.00020183593657560763,1.8838381705605034e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,62.74371,10705.868263473054
86,10636.184210526315,62.91458,62.91458000000006,0.0009589628604050973,0.00020112414915856973,1.9047259283063467e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,62.91458,10636.184210526315
87,10497.315035799522,63.09787,63.09787,0.0010268311924363674,0.0001915706122190078,2.185079247897129e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,63.09787,10497.315035799522
88,10428.12872467223,63.28723,63.287229999999965,0.0010253883113840526,0.0001917737204584491,2.1791189350283103e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,63.28723,10428.12872467223
89,10359.107142857143,63.43643,63.43642999999997,0.0010384790730658304,0.0001899309895182479,2.233194796090689e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,63.43643,10359.107142857143
90,10359.107142857143,63.70023,63.700229999999976,0.0009454325048444479,0.00020302875986263877,1.8488341746247634e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,63.70023,10359.107142857143
91,10084.656398104265,64.23227,64.23226999999997,0.0010240235258089942,0.00019196583552914055,2.173481222194572e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,64.23227,10084.656398104265
92,9880.51948051948,64.99683,64.99682999999999,0.0009623545816017597,0.00020064671096654108,1.918736590837033e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,64.99683,9880.51948051948
93,9812.794811320755,65.14923,65.14923000000005,0.0009765612796960661,0.00019864689439567522,1.9774222082959643e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,65.14923,9812.794811320755
94,9677.823529411764,65.3143,65.3143,0.0010495781385816945,0.00018836862119082874,2.2790432760606157e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,65.3143,9677.823529411764
95,9677.823529411764,65.56931,65.56931000000003,0.0009684811086496502,0.0001997843057664799,1.9440443027555668e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,65.56931,9677.823529411764
96,9543.485915492958,65.85577,65.85577,0.0010036841191424849,0.00019482892744699905,2.0894623579202083e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,65.85577,9543.485915492958
