45995.480769230766, 24.78897 
45995.480769230766, 24.78897 
78797.14285714286, 12.28146 
78797.14285714286, 12.28146 
95519.55882352941, 9.088684, 9.088684000000114, -0.0069033148056050295, 0.0012725730097730697, -2.749795254962259e-06, [{ T: 9.088684, R: 95519.55882352941 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
80459.6052631579, 13.55518, 13.555180000000007, 0.006892642194865602, -0.0005908617234183081, 2.268523625067027e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 13.55518, R: 80459.6052631579 }, { T: 24.78897, R: 45995.480769230766 }] 
79789.39790575916, 13.97415, 13.974150000000122, 0.008511954243484377, -0.000809290786281265, 2.8550097751996497e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 13.97415, R: 79789.39790575916 }, { T: 24.78897, R: 45995.480769230766 }] 
79126.171875, 14.21375, 14.213750000000005, 0.008832153640473205, -0.000852482494928904, 2.9709803268761764e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 14.21375, R: 79126.171875 }, { T: 24.78897, R: 45995.480769230766 }] 
78469.81865284975, 14.33786, 14.337859999999978, 0.008360497501974812, -0.0007888607807487119, 2.8001548253366243e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 14.33786, R: 78469.81865284975 }, { T: 24.78897, R: 45995.480769230766 }] 
77177.30769230769, 14.51062, 14.51062000000013, 0.00698188196022405, -0.0006028992787085209, 2.300844687871728e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 14.51062, R: 77177.30769230769 }, { T: 24.78897, R: 45995.480769230766 }] 
75911.04060913705, 14.85229, 14.852289999999982, 0.006797428773655503, -0.000578018381466621, 2.2340390098910343e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 14.85229, R: 75911.04060913705 }, { T: 24.78897, R: 45995.480769230766 }] 
75598.48101265823, 14.97034, 14.970340000000022, 0.006967053671751314, -0.0006008990903212832, 2.2954741443579876e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 14.97034, R: 75598.48101265823 }, { T: 24.78897, R: 45995.480769230766 }] 
74978.08564231738, 15.12521, 15.125210000000038, 0.006787250418107144, -0.0005766454227056397, 2.230352589744078e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 15.12521, R: 74978.08564231738 }, { T: 24.78897, R: 45995.480769230766 }] 
74059.125, 15.33905, 15.3390500000001, 0.0064190053320917085, -0.0005269728292664385, 2.0969807402684536e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 15.33905, R: 74059.125 }, { T: 24.78897, R: 45995.480769230766 }] 
73153.84615384616, 15.53696, 15.536960000000079, 0.005973334716059297, -0.00046685630318454407, 1.9355667348289005e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 15.53696, R: 73153.84615384616 }, { T: 24.78897, R: 45995.480769230766 }] 
